species_genome_size,mean(genome_size)
Eucalyptus recta,1.47
Eucalyptus recurva,1.14
Eucalyptus reducta,1.15
Eucalyptus redunca,1.24
Eucalyptus regnans,1.11
Eucalyptus relicta,1.17
Eucalyptus remota,1.12
Eucalyptus repullulans,1.34
Eucalyptus resinifera,1.225
Eucalyptus retusa,1.18
Eucalyptus rhodantha,1.29
Eucalyptus rhombica,1.28
Eucalyptus rhomboidea,1.3
Eucalyptus rigens,1.26
Eucalyptus rigidula,1.19
Eucalyptus risdonii,1.12
Eucalyptus robertsonii,1.1
Eucalyptus robusta,1.26
Eucalyptus rosacea,1.24
Eucalyptus rossii,1.13
Eucalyptus rowleyi,1.23
Eucalyptus roycei,1.21
Eucalyptus rubida,1.16
Eucalyptus rubiginosa,1.05
Eucalyptus rudderi,1.23
Eucalyptus rudis,1.145
Eucalyptus rugosa,1.27
Eucalyptus rugulata,1.41
Eucalyptus rummeryi,1.25
Eucalyptus rupestris,1.23
Eucalyptus salicola,1.27
Eucalyptus saligna,1.23
Eucalyptus salmonophloia,1.28
Eucalyptus salubris,1.32
Eucalyptus sargentii,1.27
Eucalyptus saxatilis,1.21
Eucalyptus scias,1.25
Eucalyptus scoparia,1.19
Eucalyptus scopulorum,1.24
Eucalyptus scyphocalyx,1.236666667
Eucalyptus seeana,1.19
Eucalyptus selachiana,1.15
Eucalyptus semiglobosa,1.3
Eucalyptus semota,1.28
Eucalyptus sepulcralis,1.07
Eucalyptus sessilis,1.37
Eucalyptus sheathiana,1.29
Eucalyptus shirleyi,1.26
Eucalyptus sicilifolia,1.28
Eucalyptus siderophloia,1.27
Eucalyptus sideroxylon,1.27
Eucalyptus sieberi,1.16
Eucalyptus singularis,1.33
Eucalyptus sinuosa,1.16
Eucalyptus smithii,1.19
Eucalyptus socialis,1.3375
Eucalyptus sp.,1.266666667
Eucalyptus sparsa,1.29
Eucalyptus sparsifolia,1.16
Eucalyptus spathulata,1.245
Eucalyptus spectatrix,1.15
Eucalyptus sphaerocarpa,1.11
Eucalyptus sporadica,1.22
Eucalyptus spreta,1.31
Eucalyptus squamosa,1.17
Eucalyptus staeri,1.04
Eucalyptus staigeriana,1.26
Eucalyptus steedmanii,1.29
Eucalyptus stellulata,1.09
Eucalyptus stenostoma,1.12
Eucalyptus stoatei,1.25
Eucalyptus stowardii,1.21
Eucalyptus striaticalyx,1.34
Eucalyptus stricklandii,1.25
Eucalyptus stricta,1.17
Eucalyptus strzeleckii,1.18
Eucalyptus sturgissiana,1.15
Eucalyptus subangusta,1.2775
Eucalyptus suberea,0.97
Eucalyptus subtilior,1.14
Eucalyptus subtilis,1.22
Eucalyptus suffulgens,1.34
Eucalyptus suggrandis,1.275
Eucalyptus sweedmaniana,1.22
Eucalyptus synandra,1.24
Eucalyptus talyuberlup,1.17
Eucalyptus tardecidens,1.25
Eucalyptus taurina,1.26
Eucalyptus tenella,1.13
Eucalyptus tenera,1.29
Eucalyptus tenuipes,0.87
Eucalyptus tenuiramis,1.09
Eucalyptus tenuis,1.32
Eucalyptus tephroclada,1.28
Eucalyptus terebra,1.27
Eucalyptus tereticornis,1.253333333
Eucalyptus terrica,1.2
Eucalyptus tetrapleura,1.26
Eucalyptus tetraptera,1.23
Eucalyptus thamnoides,1.26
Eucalyptus tholiformis,1.32
Eucalyptus thozetiana,1.37
Eucalyptus tindaliae,1.15
Eucalyptus todtiana,1.02
Eucalyptus torquata,1.36
Eucalyptus tortilis,1.34
Eucalyptus trachybasis,1.28
Eucalyptus transcontinentalis,1.31
Eucalyptus tricarpa,1.28
Eucalyptus triflora,1.14
Eucalyptus trivalvis,1.27
Eucalyptus tumida,1.28
Eucalyptus ultima,1.3
Eucalyptus umbra,1.07
Eucalyptus umbrawarrensis,1.2
Eucalyptus uncinata,1.216666667
Eucalyptus urna,1.38
Eucalyptus utilis,1.29
Eucalyptus uvida,1.09
Eucalyptus valens,1.32
Eucalyptus varia,1.23
Eucalyptus vegrandis,1.285
Eucalyptus verrucata,1.1
Eucalyptus vesiculosa,1.27
Eucalyptus vicina,1.19
Eucalyptus victoriana,1.1
Eucalyptus victrix,1.27
Eucalyptus viminalis,1.2
Eucalyptus virens,1.25
Eucalyptus virginea,1.14
Eucalyptus viridis,1.28
Eucalyptus vittata,1.32
Eucalyptus vokesensis,1.33
Eucalyptus volcanica,1.23
Eucalyptus wandoo,1.29
Eucalyptus websteriana,1.235
Eucalyptus whitei,1.29
Eucalyptus wilcoxii,1.175
Eucalyptus williamsiana,1.16
Eucalyptus wimmerensis,1.26
Eucalyptus woodwardii,1.31
Eucalyptus woollsiana,1.29
Eucalyptus wubinensis,1.31
Eucalyptus wyolensis,1.31
Eucalyptus xanthoclada,1.95
Eucalyptus xanthonema,1.225
Eucalyptus xerothermica,1.3
Eucalyptus yalatensis,1.32
Eucalyptus yarraensis,1.17
Eucalyptus yilgarnensis,1.25
Eucalyptus youmanii,1.15
Eucalyptus youngiana,1.27
Eucalyptus yumbarrana,1.34
Eucalyptus zopherophloia,1.27
